OrderID,CustomerID,OrderDate,ShippedDate,ShippingCost,ShipCountry,ShipCity,ShippingCompany,DeliveryDays,DeliveryStatus,isDomestic
1081.0,C022,2024-10-09,2025-07-30,200.53,Usa,Chicago,FedEx Logistics,294.0,late,no
1081.0,C023,2024-10-12,2025-07-30,110.83,Usa,Houston,FedEx Logistics,291.0,late,no
1083.0,C024,2024-10-22,2025-07-30,406.28,Usa,Chicago,Aramex International,281.0,late,no
1084.0,C025,2025-05-12,2025-07-30,234.09,Germany,Munich,Aramex International,79.0,late,yes
1085.0,C026,2025-02-03,,169.73,Canada,Toronto,Aramex International,,unknown,no
1086.0,C027,2024-11-14,2025-07-30,138.55,Palestine,Gaza,UPS Worldwide,258.0,late,no
1087.0,C028,2025-05-07,2025-07-30,268.58,Canada,Montreal,Aramex International,84.0,late,no
1088.0,C029,2025-03-15,2025-07-30,302.52,Uk,London,Aramex International,137.0,late,no
1089.0,C030,2025-05-21,2025-07-30,297.63,Egypt,Cairo,UPS Worldwide,70.0,late,no
1090.0,C001,2025-02-18,2025-07-30,424.3,Uk,Manchester,Aramex International,162.0,late,no
1091.0,C002,2025-03-18,,408.73,Palestine,Gaza,FedEx Logistics,,unknown,no
1092.0,C003,2024-11-16,,155.75,Uk,London,DHL Express,,unknown,no
1093.0,C004,2024-09-07,2025-07-30,51.53,Germany,Munich,FedEx Logistics,326.0,late,yes
1094.0,C005,2025-06-18,2025-07-30,67.75,Canada,Vancouver,FedEx Logistics,42.0,late,no
1095.0,C006,2024-10-13,2025-07-30,99.69,Egypt,Alexandria,Kiwilytics Goods Shipping LLC.,290.0,late,no
1096.0,C007,2024-11-22,2025-07-30,260.3,Canada,Vancouver,DHL Express,250.0,late,no
1097.0,C008,2024-10-26,2025-07-30,77.55,Usa,Chicago,FedEx Logistics,277.0,late,no
1098.0,C009,2024-12-17,2025-07-30,101.02,Palestine,Gaza,DHL Express,225.0,late,no
1099.0,C010,2024-10-07,2025-07-30,349.78,Uk,London,FedEx Logistics,296.0,late,no
1100.0,C011,,2025-07-30,499.95,Uk,Liverpool,UPS Worldwide,,unknown,no
1101.0,C012,,2025-07-30,249.92,Usa,Los Angeles,UPS Worldwide,,unknown,no
1102.0,C013,2024-08-04,2025-07-30,164.14,Usa,New York,Aramex International,360.0,late,no
1103.0,C014,2025-04-30,2025-07-30,36.27,Uk,Liverpool,UPS Worldwide,91.0,late,no
1104.0,C015,2025-02-22,,14.7,Palestine,Gaza,DHL Express,,unknown,no
1105.0,C016,2024-09-17,2025-07-30,409.46,Canada,Montreal,Kiwilytics Goods Shipping LLC.,316.0,late,no
1106.0,C017,2024-11-13,2025-07-30,257.66,Usa,Houston,Aramex International,259.0,late,no
1107.0,C018,2024-08-16,2025-07-30,345.5,Germany,Munich,FedEx Logistics,348.0,late,yes
1108.0,C019,2024-08-20,2025-07-30,421.55,Germany,Hamburg,UPS Worldwide,344.0,late,yes
1109.0,C020,2025-03-01,2025-07-30,234.09,Egypt,Giza,Aramex International,151.0,late,no
1110.0,C021,2024-11-20,2025-07-30,234.09,Palestine,Gaza,UPS Worldwide,252.0,late,no
1111.0,C022,2025-04-26,2025-07-30,234.09,Uk,London,Aramex International,95.0,late,no
1112.0,C023,2024-09-17,2025-07-30,234.09,Egypt,Giza,DHL Express,316.0,late,no
1113.0,C024,2025-04-03,2025-07-30,385.3,Usa,Los Angeles,DHL Express,118.0,late,no
1114.0,C025,2025-07-02,2025-07-30,65.47,Palestine,Gaza,FedEx Logistics,28.0,late,no
1115.0,C026,2025-05-18,2025-07-30,389.81,Canada,Toronto,Aramex International,73.0,late,no
1116.0,C027,2025-02-05,2025-07-30,189.76,Canada,Toronto,Kiwilytics Goods Shipping LLC.,175.0,late,no
1116.0,C028,2024-09-07,2025-07-30,30.39,Palestine,Gaza,DHL Express,326.0,late,no
1118.0,C029,2025-07-03,2025-07-30,277.71,Egypt,Cairo,FedEx Logistics,27.0,late,no
1119.0,C030,2024-08-03,2025-07-30,60.18,Egypt,Cairo,Aramex International,361.0,late,no
1120.0,C001,2025-03-09,2025-07-30,378.16,Palestine,Gaza,FedEx Logistics,143.0,late,no
1122.0,C003,2024-11-17,2025-07-30,180.8,Usa,New York,FedEx Logistics,255.0,late,no
1123.0,C004,2025-01-28,2025-07-30,225.14,Egypt,Giza,Aramex International,183.0,late,no
1124.0,C005,,2025-07-30,390.06,Egypt,Giza,UPS Worldwide,,unknown,no
1125.0,C006,2025-01-17,2025-07-30,407.24,Uk,Manchester,Kiwilytics Goods Shipping LLC.,194.0,late,no
1126.0,C007,2024-12-09,,181.81,Palestine,Gaza,DHL Express,,unknown,no
1127.0,C008,2024-10-09,2025-07-30,320.06,Usa,Houston,Aramex International,294.0,late,no
1128.0,C009,2024-08-18,,78.23,Usa,Houston,Aramex International,,unknown,no
1129.0,C010,2024-11-05,2025-07-30,111.4,Canada,Toronto,FedEx Logistics,267.0,late,no
1130.0,C011,2025-07-30,2025-07-30,234.09,Germany,Hamburg,DHL Express,0.0,shipped on time,yes
1131.0,C012,2025-06-29,2025-07-30,92.5,Germany,Berlin,UPS Worldwide,31.0,late,yes
1132.0,C013,2025-01-31,2025-07-30,153.39,Usa,New York,UPS Worldwide,180.0,late,no
1133.0,C014,2024-09-12,2025-07-30,476.67,Uk,Liverpool,Kiwilytics Goods Shipping LLC.,321.0,late,no
1134.0,C015,2025-06-14,2025-07-30,451.08,Uk,Manchester,Kiwilytics Goods Shipping LLC.,46.0,late,no
1135.0,C016,2024-08-24,2025-07-30,76.44,Palestine,Gaza,FedEx Logistics,340.0,late,no
1136.0,C017,2025-01-01,2025-07-30,211.68,Egypt,Giza,DHL Express,210.0,late,no
1137.0,C018,2025-02-05,2025-07-30,234.09,Germany,Munich,UPS Worldwide,175.0,late,yes
1138.0,C019,2024-08-27,2025-07-30,434.38,Usa,Los Angeles,DHL Express,337.0,late,no
1139.0,C020,2025-03-11,2025-07-30,358.58,Uk,Manchester,FedEx Logistics,141.0,late,no
1140.0,C021,2025-03-31,2025-07-30,383.12,Canada,Montreal,DHL Express,121.0,late,no
1141.0,C022,2025-04-22,2025-07-30,249.83,Germany,Hamburg,DHL Express,99.0,late,yes
1142.0,Unknonw,2024-08-19,2025-07-30,141.67,Egypt,Cairo,DHL Express,345.0,late,no
1143.0,C024,2024-09-26,2025-07-30,231.48,Egypt,Alexandria,FedEx Logistics,307.0,late,no
1144.0,C025,2024-09-25,2025-07-30,441.26,Canada,Toronto,FedEx Logistics,308.0,late,no
1145.0,C026,2025-06-10,2025-07-30,262.65,Egypt,Alexandria,FedEx Logistics,50.0,late,no
1146.0,Unknonw,2025-03-05,2025-07-30,468.8,Uk,London,UPS Worldwide,147.0,late,no
1147.0,C028,2024-11-24,2025-07-30,475.62,Uk,Manchester,Aramex International,248.0,late,no
1148.0,C029,,2025-07-30,11.21,Uk,Manchester,DHL Express,,unknown,no
1149.0,C030,2024-09-01,2025-07-30,369.03,Egypt,Giza,Kiwilytics Goods Shipping LLC.,332.0,late,no
1150.0,C001,2024-11-03,2025-07-30,234.64,Usa,Los Angeles,Kiwilytics Goods Shipping LLC.,269.0,late,no
1151.0,C002,2024-09-14,2025-07-30,185.53,Canada,Vancouver,Aramex International,319.0,late,no
1152.0,C003,2025-03-03,,234.09,Egypt,Alexandria,DHL Express,,unknown,no
1153.0,C004,,2025-07-30,414.18,Uk,Liverpool,DHL Express,,unknown,no
1154.0,C005,2025-01-07,2025-07-30,168.2,Egypt,Giza,DHL Express,204.0,late,no
1155.0,C006,2025-03-22,2025-07-30,278.18,Usa,Los Angeles,FedEx Logistics,130.0,late,no
1156.0,C007,2025-03-18,2025-07-30,427.69,Egypt,Unspecified,UPS Worldwide,134.0,late,no
1157.0,C008,2025-06-02,2025-07-30,448.14,Egypt,Giza,FedEx Logistics,58.0,late,no
1158.0,C009,2025-03-27,,32.51,Egypt,Giza,DHL Express,,unknown,no
1159.0,C010,2024-10-25,2025-07-30,419.98,Uk,Unspecified,Aramex International,278.0,late,no
1160.0,C011,2025-05-27,2025-07-30,234.09,Germany,Berlin,DHL Express,64.0,late,yes
1161.0,C012,2025-02-17,,10.33,Usa,Chicago,DHL Express,,unknown,no
1162.0,C013,2024-12-24,2025-07-30,109.14,Germany,Munich,UPS Worldwide,218.0,late,yes
1163.0,C014,,2025-07-30,74.64,Canada,Montreal,DHL Express,,unknown,no
1164.0,C015,2025-01-20,2025-07-30,87.9,Germany,Berlin,FedEx Logistics,191.0,late,yes
1165.0,C016,2025-07-17,,144.27,Canada,Toronto,Kiwilytics Goods Shipping LLC.,,unknown,no
1166.0,C017,2025-01-17,,132.69,Canada,Toronto,UPS Worldwide,,unknown,no
1167.0,C018,2024-11-22,2025-07-30,452.86,Canada,Toronto,UPS Worldwide,250.0,late,no
1168.0,C019,2025-06-29,2025-07-30,204.21,Egypt,Cairo,UPS Worldwide,31.0,late,no
1169.0,C020,2025-03-15,2025-07-30,352.73,Uk,Liverpool,DHL Express,137.0,late,no
1170.0,C021,2025-01-12,2025-07-30,331.19,Canada,Vancouver,UPS Worldwide,199.0,late,no
1171.0,C022,2024-11-25,2025-07-30,10.53,Uk,Manchester,UPS Worldwide,247.0,late,no
1171.0,C023,2025-03-07,2025-07-30,75.02,Germany,Munich,FedEx Logistics,145.0,late,yes
1173.0,C024,2025-03-28,2025-07-30,343.19,Usa,New York,Aramex International,124.0,late,no
1174.0,C025,2024-08-22,2025-07-30,234.09,Canada,Vancouver,FedEx Logistics,342.0,late,no
1175.0,C026,2025-03-23,2025-07-30,216.93,Egypt,Giza,FedEx Logistics,129.0,late,no
1176.0,C027,2025-05-13,2025-07-30,44.71,Egypt,Cairo,Aramex International,78.0,late,no
1177.0,C028,,2025-07-30,368.07,Egypt,Giza,Aramex International,,unknown,no
1178.0,C029,2025-05-22,2025-07-30,163.54,Germany,Munich,UPS Worldwide,69.0,late,yes
1179.0,C030,2024-10-18,2025-07-30,77.19,Uk,London,FedEx Logistics,285.0,late,no
1180.0,C001,2025-03-29,2025-07-30,379.05,Uk,Liverpool,DHL Express,123.0,late,no
1181.0,C002,2024-10-19,,496.54,Usa,Chicago,Kiwilytics Goods Shipping LLC.,,unknown,no
1182.0,C003,2024-11-09,2025-07-30,269.95,Usa,Houston,Kiwilytics Goods Shipping LLC.,263.0,late,no
1183.0,C004,2025-04-12,,234.09,Usa,Los Angeles,Kiwilytics Goods Shipping LLC.,,unknown,no
1184.0,C005,,2025-07-30,114.4,Germany,Berlin,FedEx Logistics,,unknown,yes
1185.0,C006,2024-08-30,2025-07-30,460.75,Canada,Montreal,Aramex International,334.0,late,no
1186.0,C007,2024-09-28,2025-07-30,226.77,Canada,Montreal,UPS Worldwide,305.0,late,no
1187.0,C008,2024-10-31,,449.33,Canada,Vancouver,UPS Worldwide,,unknown,no
1188.0,C009,2024-10-05,,70.35,Egypt,Giza,Kiwilytics Goods Shipping LLC.,,unknown,no
1189.0,C010,2025-03-01,2025-07-30,182.25,Usa,New York,UPS Worldwide,151.0,late,no
1190.0,Unknonw,2024-08-28,2025-07-30,397.63,Egypt,Cairo,DHL Express,336.0,late,no
1191.0,C012,2024-09-28,2025-07-30,325.86,Canada,Montreal,DHL Express,305.0,late,no
1192.0,C013,2024-07-31,2025-07-30,304.49,Usa,Los Angeles,Aramex International,364.0,late,no
1194.0,C015,2025-01-20,2025-07-30,23.14,Uk,Liverpool,FedEx Logistics,191.0,late,no
1195.0,C016,2025-04-23,2025-07-30,439.16,Uk,Manchester,UPS Worldwide,98.0,late,no
1196.0,C017,2025-03-17,2025-07-30,307.39,Egypt,Alexandria,FedEx Logistics,135.0,late,no
1197.0,C018,2025-01-28,2025-07-30,201.96,Egypt,Alexandria,Kiwilytics Goods Shipping LLC.,183.0,late,no
1197.0,C019,2024-11-20,2025-07-30,394.06,Canada,Vancouver,FedEx Logistics,252.0,late,no
1199.0,C020,,2025-07-30,127.28,Uk,Liverpool,Kiwilytics Goods Shipping LLC.,,unknown,no
1200.0,C021,2024-10-27,2025-07-30,128.13,Germany,Hamburg,DHL Express,276.0,late,yes
1201.0,C022,2024-11-18,2025-07-30,44.8,Egypt,Giza,UPS Worldwide,254.0,late,no
1202.0,C023,2025-04-30,2025-07-30,15.91,Usa,New York,Aramex International,91.0,late,no
1203.0,C024,2024-11-16,2025-07-30,165.07,Germany,Hamburg,UPS Worldwide,256.0,late,yes
1204.0,C025,2025-04-29,2025-07-30,421.1,Uk,Liverpool,Kiwilytics Goods Shipping LLC.,92.0,late,no
1205.0,C026,2025-06-28,2025-07-30,277.71,Germany,Hamburg,UPS Worldwide,32.0,late,yes
1206.0,C027,2025-01-22,2025-07-30,234.09,Uk,Manchester,Aramex International,189.0,late,no
1207.0,C028,2024-08-26,2025-07-30,45.77,Usa,Houston,Kiwilytics Goods Shipping LLC.,338.0,late,no
1208.0,C029,2025-04-22,2025-07-30,16.76,Usa,Chicago,Kiwilytics Goods Shipping LLC.,99.0,late,no
1209.0,C030,2024-10-28,2025-07-30,462.06,Uk,Liverpool,Aramex International,275.0,late,no
1210.0,C001,2025-07-23,2025-07-30,205.01,Uk,Manchester,UPS Worldwide,7.0,shipped on time,no
1210.0,C002,2024-11-09,2025-07-30,359.19,Uk,Liverpool,Aramex International,263.0,late,no
1213.0,C004,2025-06-02,2025-07-30,323.86,Canada,Montreal,DHL Express,58.0,late,no
1214.0,C005,2025-03-29,2025-07-30,84.81,Canada,Toronto,Aramex International,123.0,late,no
1215.0,C006,2025-03-16,2025-07-30,48.72,Germany,Munich,Kiwilytics Goods Shipping LLC.,136.0,late,yes
1216.0,C007,2025-04-12,2025-07-30,487.41,Uk,Liverpool,FedEx Logistics,109.0,late,no
1217.0,C008,2025-06-07,,170.11,Canada,Montreal,DHL Express,,unknown,no
1218.0,C009,2025-07-27,2025-07-30,383.98,Usa,Houston,Aramex International,3.0,shipped on time,no
1219.0,C010,2024-10-14,2025-07-30,325.15,Uk,Manchester,DHL Express,289.0,late,no
1220.0,C011,2025-01-11,,224.37,Egypt,Alexandria,UPS Worldwide,,unknown,no
1221.0,C012,2024-09-12,2025-07-30,126.93,Egypt,Giza,Kiwilytics Goods Shipping LLC.,321.0,late,no
1222.0,C013,2025-02-26,2025-07-30,463.07,Usa,Los Angeles,Aramex International,154.0,late,no
1223.0,C014,2024-10-25,2025-07-30,310.03,Uk,Liverpool,Kiwilytics Goods Shipping LLC.,278.0,late,no
1224.0,C015,2025-04-07,2025-07-30,234.09,Canada,Montreal,FedEx Logistics,114.0,late,no
1225.0,C016,2024-09-25,2025-07-30,68.53,Germany,Hamburg,FedEx Logistics,308.0,late,yes
1226.0,C017,2025-07-17,2025-07-30,353.73,Egypt,Giza,DHL Express,13.0,shipped on time,no
1227.0,C018,2024-11-10,,476.98,Uk,Liverpool,FedEx Logistics,,unknown,no
1228.0,C019,2025-06-16,,393.66,Uk,London,FedEx Logistics,,unknown,no
1229.0,C020,2024-09-23,2025-07-30,91.81,Germany,Berlin,Aramex International,310.0,late,yes
1230.0,C021,2024-08-26,,392.75,Uk,London,Kiwilytics Goods Shipping LLC.,,unknown,no
1231.0,C022,2024-08-22,2025-07-30,444.34,Egypt,Cairo,DHL Express,342.0,late,no
1232.0,C023,2024-10-02,2025-07-30,24.38,Uk,Liverpool,FedEx Logistics,301.0,late,no
1233.0,C024,2025-06-02,2025-07-30,143.27,Germany,Berlin,Kiwilytics Goods Shipping LLC.,58.0,late,yes
1234.0,C025,2024-11-26,2025-07-30,234.09,Uk,Liverpool,UPS Worldwide,246.0,late,no
1235.0,C026,2025-03-18,2025-07-30,253.11,Usa,Los Angeles,Aramex International,134.0,late,no
1236.0,C027,2025-05-16,2025-07-30,37.17,Uk,London,FedEx Logistics,75.0,late,no
1237.0,C028,2025-06-15,2025-07-30,91.77,Uk,Manchester,FedEx Logistics,45.0,late,no
1238.0,C029,2025-03-08,2025-07-30,388.93,Uk,Manchester,FedEx Logistics,144.0,late,no
1239.0,C030,2025-07-22,2025-07-30,340.32,Uk,Liverpool,Kiwilytics Goods Shipping LLC.,8.0,shipped on time,no
1240.0,C001,2024-11-19,2025-07-30,372.98,Uk,Manchester,Aramex International,253.0,late,no
1241.0,C002,,2025-07-30,234.09,Usa,Houston,Aramex International,,unknown,no
1242.0,C003,2025-01-16,2025-07-30,241.16,Usa,New York,Kiwilytics Goods Shipping LLC.,195.0,late,no
1243.0,C004,2024-09-16,2025-07-30,83.54,Egypt,Cairo,DHL Express,317.0,late,no
1244.0,C005,2025-01-28,2025-07-30,430.17,Germany,Berlin,Aramex International,183.0,late,yes
